epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,633.629,1.38458,0.33444,0.3866,0.50558,0.68873,0.48219,0.2547,0.85845,0.45466,0.19108,0.0667325,3.33008e-05,3.33008e-05
2,1242.33,1.05622,0.40413,0.26773,0.5234,0.73542,0.51747,0.29963,0.77289,0.46265,0.17151,0.0334323,6.6374e-05,6.6374e-05
3,1849.72,0.95592,0.39403,0.24275,0.68619,0.73161,0.69054,0.42704,0.69774,0.42763,0.14437,0.000130965,9.84128e-05,9.84128e-05
4,2454.6,0.86743,0.37483,0.2,0.77423,0.751,0.77154,0.4852,0.65487,0.40375,0.12348,9.65239e-05,9.65239e-05,9.65239e-05
5,3055.04,0.85722,0.3651,0.19575,0.79188,0.75737,0.79794,0.50626,0.63656,0.39983,0.11757,9.38772e-05,9.38772e-05,9.38772e-05
6,3664,0.87424,0.35761,0.20813,0.79752,0.75935,0.8005,0.51164,0.62011,0.40151,0.11558,9.05463e-05,9.05463e-05,9.05463e-05
7,4269.69,0.84706,0.36077,0.20403,0.81544,0.76984,0.81839,0.52489,0.6058,0.39534,0.11225,8.65839e-05,8.65839e-05,8.65839e-05
8,4877.64,0.82473,0.36331,0.19607,0.81461,0.77504,0.81789,0.52544,0.60294,0.39656,0.11308,8.20525e-05,8.20525e-05,8.20525e-05
9,5491.55,0.82989,0.35977,0.20316,0.80965,0.78132,0.82077,0.52635,0.59548,0.40387,0.10926,7.70234e-05,7.70234e-05,7.70234e-05
10,6109.45,0.79886,0.36215,0.18903,0.8191,0.78545,0.8258,0.53392,0.58224,0.40082,0.10645,7.15761e-05,7.15761e-05,7.15761e-05
11,6719.02,0.80097,0.36118,0.19036,0.82839,0.7881,0.83363,0.53816,0.57971,0.39639,0.10673,6.57963e-05,6.57963e-05,6.57963e-05
12,7331.67,0.79632,0.36084,0.19278,0.8325,0.79353,0.83801,0.54226,0.57014,0.39674,0.10447,5.97754e-05,5.97754e-05,5.97754e-05
13,7942.51,0.77765,0.36329,0.18454,0.82396,0.79399,0.83325,0.5402,0.56804,0.39995,0.10418,5.36081e-05,5.36081e-05,5.36081e-05
14,8554.36,0.79119,0.35934,0.1895,0.8304,0.79389,0.83972,0.54409,0.56484,0.39684,0.10311,4.73919e-05,4.73919e-05,4.73919e-05
15,9164.45,0.76352,0.36314,0.17692,0.83386,0.79971,0.84109,0.5464,0.56208,0.39662,0.10373,4.12246e-05,4.12246e-05,4.12246e-05
16,9664.03,0.57825,0.41036,0.09723,0.84327,0.79793,0.84782,0.5483,0.55086,0.39806,0.09808,3.52037e-05,3.52037e-05,3.52037e-05
17,10162.7,0.5649,0.40986,0.09367,0.84397,0.80016,0.85065,0.55193,0.54531,0.39816,0.09661,2.94239e-05,2.94239e-05,2.94239e-05
18,10660.3,0.56174,0.40961,0.09465,0.84634,0.80411,0.8533,0.55392,0.53938,0.39858,0.09555,2.39766e-05,2.39766e-05,2.39766e-05
19,11164.3,0.55106,0.40944,0.09158,0.84753,0.8056,0.8539,0.55454,0.53832,0.39817,0.09551,1.89475e-05,1.89475e-05,1.89475e-05
20,11661.2,0.55544,0.40928,0.09274,0.84736,0.80691,0.85443,0.55522,0.53488,0.399,0.09404,1.44161e-05,1.44161e-05,1.44161e-05
21,12159,0.55834,0.40855,0.09263,0.84815,0.80718,0.856,0.55627,0.53436,0.3987,0.09412,1.04537e-05,1.04537e-05,1.04537e-05
22,12652.6,0.55328,0.40895,0.09093,0.85143,0.80654,0.8563,0.55663,0.53431,0.39836,0.09444,7.12282e-06,7.12282e-06,7.12282e-06
23,13148.6,0.54905,0.41002,0.08882,0.84881,0.80759,0.85645,0.55668,0.53322,0.39916,0.09363,4.47606e-06,4.47606e-06,4.47606e-06
24,13644.7,0.54599,0.40951,0.0893,0.84791,0.80967,0.85626,0.55721,0.53254,0.3986,0.09383,2.55513e-06,2.55513e-06,2.55513e-06
25,14140.8,0.55183,0.40894,0.09093,0.84836,0.80995,0.85677,0.55767,0.53138,0.39873,0.09371,1.39032e-06,1.39032e-06,1.39032e-06
