epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.672,1.51772,0.82774,1.10333,0.83504,0.74432,0.82097,0.5085,1.3869,0.69759,1.08742,0.0668657,0.000166504,0.000166504
2,451.691,1.41085,0.69773,1.05618,0.87267,0.8099,0.87246,0.54061,1.35459,0.63387,1.04507,0.0336859,0.000319977,0.000319977
3,671.985,1.38533,0.66295,1.04445,0.88646,0.82032,0.88647,0.56429,1.30945,0.60439,1.02551,0.000492802,0.00046025,0.00046025
4,891.072,1.36363,0.64281,1.03428,0.88725,0.83211,0.89177,0.57182,1.30273,0.58543,1.02324,0.0004406,0.0004406,0.0004406
5,1111.25,1.34838,0.62911,1.02869,0.89537,0.83627,0.89745,0.57764,1.28876,0.57521,1.01952,0.0004208,0.0004208,0.0004208
6,1330.15,1.34476,0.61785,1.0239,0.89774,0.83958,0.89921,0.57906,1.2844,0.57044,1.01794,0.000401,0.000401,0.000401
7,1548.34,1.32698,0.60205,1.02027,0.89502,0.83938,0.90109,0.58364,1.27359,0.56282,1.01338,0.0003812,0.0003812,0.0003812
8,1767.3,1.32214,0.60227,1.02211,0.89837,0.84136,0.90205,0.58402,1.27671,0.55641,1.01383,0.0003614,0.0003614,0.0003614
9,1986.25,1.31268,0.59449,1.01423,0.89902,0.85045,0.90734,0.59021,1.27134,0.55225,1.00848,0.0003416,0.0003416,0.0003416
10,2205.97,1.3124,0.59073,1.01928,0.90104,0.85134,0.90651,0.59095,1.26823,0.54344,1.01126,0.0003218,0.0003218,0.0003218
11,2425.41,1.30815,0.58667,1.01669,0.89855,0.85336,0.90887,0.59241,1.26167,0.543,1.00536,0.000302,0.000302,0.000302
12,2645.12,1.30622,0.58211,1.0141,0.89939,0.85452,0.9088,0.5925,1.26478,0.53738,1.00884,0.0002822,0.0002822,0.0002822
13,2865.17,1.29437,0.57302,1.01211,0.90012,0.8592,0.9115,0.59546,1.25473,0.53719,1.00186,0.0002624,0.0002624,0.0002624
14,3085.28,1.29562,0.57229,1.00591,0.90373,0.85992,0.9155,0.594,1.25699,0.53319,1.00451,0.0002426,0.0002426,0.0002426
15,3304.37,1.28768,0.56366,1.00593,0.90154,0.86104,0.91525,0.60088,1.25131,0.52367,1.00316,0.0002228,0.0002228,0.0002228
16,3513.32,1.28138,0.55661,1.0259,0.90555,0.8602,0.9176,0.60261,1.25262,0.52429,1.0006,0.000203,0.000203,0.000203
17,3721.3,1.27429,0.55108,1.02108,0.90548,0.86253,0.916,0.60207,1.24916,0.5221,1.00059,0.0001832,0.0001832,0.0001832
18,3929.17,1.27715,0.54902,1.02509,0.90555,0.86372,0.91513,0.60172,1.24744,0.51873,0.99904,0.0001634,0.0001634,0.0001634
19,4136.82,1.26794,0.53866,1.02278,0.90702,0.86633,0.91928,0.6036,1.24737,0.51713,0.99836,0.0001436,0.0001436,0.0001436
20,4344.58,1.26814,0.53723,1.02356,0.90475,0.86675,0.9188,0.60425,1.24692,0.51578,0.99861,0.0001238,0.0001238,0.0001238
21,4551.89,1.26376,0.53449,1.02021,0.90679,0.8652,0.92137,0.60619,1.24243,0.51487,0.99633,0.000104,0.000104,0.000104
22,4759.67,1.26452,0.53117,1.01826,0.90534,0.86857,0.91965,0.60639,1.2443,0.50901,0.99759,8.42e-05,8.42e-05,8.42e-05
23,4967.73,1.2589,0.52418,1.01441,0.90875,0.86958,0.92124,0.60691,1.24206,0.5065,0.99662,6.44e-05,6.44e-05,6.44e-05
24,5175.26,1.25692,0.52021,1.01697,0.90644,0.8703,0.91893,0.6075,1.23959,0.50514,0.99571,4.46e-05,4.46e-05,4.46e-05
25,5383.45,1.25481,0.51882,1.01468,0.90676,0.87169,0.92253,0.60875,1.24025,0.50389,0.99544,2.48e-05,2.48e-05,2.48e-05
